Imatest,24.2.6, Master, SFR batch

Width & Height (pxl), 6024, 4020
Zone weights (Ctr-PtWy-Cor),  1.00,  0.75,  0.50
roi_mult, 3416  1881  3723  2291 ; 
Regions,1
Center,1
Part way,0
Corner,0

Secondary_rdout_1, MTF50.
Secondary_rdout_2, .
Date, 12-May-2025 16:26:17,12-May-2025 16:26:17,12-May-2025 16:26:17,12-May-2025 16:26:17,12-May-2025 16:26:17,12-May-2025 16:26:17,12-May-2025 16:26:17,12-May-2025 16:26:17,
File, cup_55.0 mm_6400ISO_-2EV_Dist1_ON_Defocus2.tiff,cup_55.0 mm_6400ISO_-2EV_Dist1_ON_Focused.tiff,cup_55.0 mm_25600ISO_-2EV_Dist1_OFF_Defocus1.tiff,cup_55.0 mm_25600ISO_-2EV_Dist1_OFF_Defocus2.tiff,cup_55.0 mm_25600ISO_-2EV_Dist1_OFF_Focused.tiff,cup_55.0 mm_25600ISO_-2EV_Dist1_ON_Defocus1.tiff,cup_55.0 mm_25600ISO_-2EV_Dist1_ON_Defocus2.tiff,cup_55.0 mm_25600ISO_-2EV_Dist1_ON_Focused.tiff,
Camera, , , , , , , , 
Lens, , , , , , , , 
ISO speed, , , , , , , , 
Focal length, 18, 18, 18, 18, 18, 18, 18, 18
Shutter speed, , , , , , , , 
Aperture, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11

Plot title

Summary results for creating plots

Peak MTF Wtd mean,   1.332,   1.264,   3.270,   4.104,   3.474,   3.937,   2.842,   3.779
MTF50P (Cy/Pxl) Wtd mean,  0.5103,  0.3261,  0.4469,  0.5113,  0.4191,  0.2391,  0.2931,  0.4595
MTF50P (LW/PH) Wtd mean,   4102.6,   2621.7,   3593.4,   4111.1,   3369.7,   1922.4,   2356.3,   3694.3
MTF20 (Cy/Pxl) Wtd mean,  0.0119,  0.0538,  0.0094,  0.0112,  0.0942,  0.0177,  0.0122,  0.4709
MTF20 (LW/PH) Wtd mean,     95.6,    432.2,     75.2,     89.9,    757.6,    142.3,     98.3,   3785.7
LSF PW50 (pxl) Wtd mean,  0.3098,  0.2902,  0.2681,  0.3060,  0.2443,  0.2166,  0.2247,  0.3572
CA (area %) Wtd mean,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
CA (crossing %) Wtd mean,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
CA (R-G %) Wtd mean,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
CA (B-G %) Wtd mean,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
MTF50C (Cy/Pxl) Wtd mean,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
MTF Area PkNorm (Cy/Pxl) Wtd mean,  0.1559,  0.1687,  0.1714,  0.1629,  0.1815,  0.1651,  0.1855,  0.1612
s1-MTF50. Wtd mean,     0.00831,     0.02574,         NaN,     0.00765,     0.05945,     0.01272,     0.00817,     0.01731
Shannon capacity Wtd mean,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
Info Capacity C_4 Wtd mean,  0.06,  0.05,  0.05,  0.06,  0.04,  0.05,  0.05,  0.06
Info Capacity C_max Wtd mean,  1.36,  1.60,  1.73,  1.85,  1.75,  1.84,  1.43,  1.78
SNRi 2x8 pixels Wtd mean,  3.26,  3.82,  3.34,  2.90,  0.85,  4.00,  3.27,  1.20
Edge location sigma 2x8 Wtd mean,  2.83,  3.20,  2.94,  3.21,  4.18,  2.72,  3.19,  3.95
