Imatest,24.2.6, Master, SFR batch

Width & Height (pxl), 6024, 4020
Zone weights (Ctr-PtWy-Cor),  1.00,  0.75,  0.50
roi_mult, 3453  1908  3677  2317 ; 
Regions,1
Center,1
Part way,0
Corner,0

Secondary_rdout_1, MTF50.
Secondary_rdout_2, .
Date, 08-May-2025 09:48:24,08-May-2025 09:48:24,08-May-2025 09:48:24,08-May-2025 09:48:24,08-May-2025 09:48:24,08-May-2025 09:48:24,
File, car_55.0 mm_6400ISO_+1EV_Dist1_OFF_Defocus2.tiff,car_55.0 mm_6400ISO_+1EV_Dist1_OFF_Defocus1.tiff,car_55.0 mm_6400ISO_+1EV_Dist1_ON_Defocus2.tiff,car_55.0 mm_6400ISO_+1EV_Dist1_ON_Defocus1.tiff,car_55.0 mm_6400ISO_+1EV_Dist1_OFF_Focused.tiff,car_55.0 mm_6400ISO_+1EV_Dist1_ON_Focused.tiff,
Camera, , , , , , 
Lens, , , , , , 
ISO speed, , , , , , 
Focal length, 18, 18, 18, 18, 18, 18
Shutter speed, , , , , , 
Aperture, f/11, f/11, f/11, f/11, f/11, f/11

Plot title

Summary results for creating plots

Peak MTF Max Cor,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000
MTF50P (Cy/Pxl) Min Cor,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
MTF50P (LW/PH) Min Cor,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0
MTF20 (Cy/Pxl) Min Cor,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
MTF20 (LW/PH) Min Cor,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0
LSF PW50 (pxl) Max Cor,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
CA (area %) Max Cor,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
CA (crossing %) Max Cor,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
CA (R-G %) Max Cor,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
CA (B-G %) Max Cor,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
MTF50C (Cy/Pxl) Max Cor,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
MTF Area PkNorm (Cy/Pxl) Min Cor,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
s1-MTF50. Min Cor,     0.00000,     0.00000,     0.00000,     0.00000,     0.00000,     0.00000
Shannon capacity Min Cor,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
Info Capacity C_4 Min Cor,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
Info Capacity C_max Min Cor,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
SNRi 2x8 pixels Min Cor,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
Edge location sigma 2x8 Min Cor,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00

MTF50 (Cy/Pxl) Wtd mean,  0.0086,  0.0189,  0.0087,  0.0187,  0.1614,  0.1585
R1090 (pxl) Wtd mean, 50.6927, 24.7973, 58.8066, 23.3693,  3.3689,  2.9853
CA (pxl) Wtd mean,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
MTF50 (LW/PH) Wtd mean,     69.1,    151.7,     69.6,    150.2,   1297.6,   1274.2
R1090 (/PH) Wtd mean,     79.3,    162.1,     68.4,    172.0,   1193.3,   1346.6
Peak MTF Wtd mean,   1.000,   1.000,   1.000,   1.000,   1.000,   1.000
MTF50P (Cy/Pxl) Wtd mean,  0.0086,  0.0189,  0.0087,  0.0187,  0.1614,  0.1585
MTF50P (LW/PH) Wtd mean,     69.1,    151.7,     69.6,    150.2,   1297.6,   1274.1
MTF20 (Cy/Pxl) Wtd mean,  0.0123,  0.0269,  0.0124,  0.0285,  0.2277,  0.2678
MTF20 (LW/PH) Wtd mean,     99.0,    216.2,     99.9,    229.1,   1830.3,   2153.5
LSF PW50 (pxl) Wtd mean,  0.3727,  0.3689,  0.3237,  0.3646,  1.9534,  2.4058
