Imatest,24.2.6, Master, SFR batch

Width & Height (pxl), 6024, 4020
Zone weights (Ctr-PtWy-Cor),  1.00,  0.75,  0.50
roi_mult, 3186  1998  3293  2141 ; 
Regions,1
Center,1
Part way,0
Corner,0

Secondary_rdout_1, MTF50.
Secondary_rdout_2, .
Date, 12-May-2025 12:08:18,12-May-2025 12:08:18,12-May-2025 12:08:18,12-May-2025 12:08:18,12-May-2025 12:08:18,12-May-2025 12:08:18,
File, car_18.0 mm_25600ISO_-2EV_Dist1_OFF_Defocus2.tiff,car_18.0 mm_25600ISO_-2EV_Dist1_OFF_Defocus1.tiff,car_18.0 mm_25600ISO_-2EV_Dist1_ON_Defocus2.tiff,car_18.0 mm_25600ISO_-2EV_Dist1_ON_Defocus1.tiff,car_18.0 mm_25600ISO_-2EV_Dist1_OFF_Focused.tiff,car_18.0 mm_25600ISO_-2EV_Dist1_ON_Focused.tiff,
Camera, , , , , , 
Lens, , , , , , 
ISO speed, , , , , , 
Focal length, 18, 18, 18, 18, 18, 18
Shutter speed, , , , , , 
Aperture, f/11, f/11, f/11, f/11, f/11, f/11

Plot title

Summary results for creating plots

CA (area %) Wtd mean,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
CA (crossing %) Wtd mean,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
CA (R-G %) Wtd mean,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
CA (B-G %) Wtd mean,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
MTF50C (Cy/Pxl) Wtd mean,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
MTF Area PkNorm (Cy/Pxl) Wtd mean,  0.2029,  0.2455,  0.2509,  0.2138,  0.2382,  0.1692
s1-MTF50. Wtd mean,     0.01633,     0.05957,     0.01797,     0.01829,     0.01600,     0.02337
Shannon capacity Wtd mean,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
Info Capacity C_4 Wtd mean,  0.00,  0.03,  0.00,  0.20,  0.00,  0.04
Info Capacity C_max Wtd mean,  1.31,  1.85,  3.56,  2.59,  2.97,  1.81
SNRi 2x8 pixels Wtd mean, -8.35,  0.81, -7.09,  9.45, -12.43,  1.76
Edge location sigma 2x8 Wtd mean, 11.76,  4.64,  9.98,  1.42, 20.76,  3.32
