Imatest,24.2.6, Master, SFR batch

Width & Height (pxl), 6024, 4020
Zone weights (Ctr-PtWy-Cor),  1.00,  0.75,  0.50
roi_mult, 3495  2005  3819  2570 ; 
Regions,1
Center,1
Part way,0
Corner,0

Secondary_rdout_1, MTF50.
Secondary_rdout_2, .
Date, 12-May-2025 18:01:14,12-May-2025 18:01:14,12-May-2025 18:01:14,12-May-2025 18:01:14,12-May-2025 18:01:14,12-May-2025 18:01:14,12-May-2025 18:01:14,12-May-2025 18:01:14,12-May-2025 18:01:14,12-May-2025 18:01:14,12-May-2025 18:01:14,
File, cup_55.0 mm_6400ISO_-1EV_Dist2_OFF_Defocus2.tiff,cup_55.0 mm_6400ISO_-1EV_Dist2_OFF_Focused.tiff,cup_55.0 mm_6400ISO_-1EV_Dist2_ON_Defocus1.tiff,cup_55.0 mm_6400ISO_-1EV_Dist2_ON_Defocus2.tiff,cup_55.0 mm_6400ISO_-1EV_Dist2_ON_Focused.tiff,cup_55.0 mm_25600ISO_-1EV_Dist2_OFF_Defocus1.tiff,cup_55.0 mm_25600ISO_-1EV_Dist2_OFF_Defocus2.tiff,cup_55.0 mm_25600ISO_-1EV_Dist2_OFF_Focused.tiff,cup_55.0 mm_25600ISO_-1EV_Dist2_ON_Defocus1.tiff,cup_55.0 mm_25600ISO_-1EV_Dist2_ON_Defocus2.tiff,cup_55.0 mm_25600ISO_-1EV_Dist2_ON_Focused.tiff,
Camera, , , , , , , , , , , 
Lens, , , , , , , , , , , 
ISO speed, , , , , , , , , , , 
Focal length, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18
Shutter speed, , , , , , , , , , , 
Aperture, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11

Plot title

Summary results for creating plots

Info Capacity C_4 Mean Cor,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
Info Capacity C_max Mean Cor,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
SNRi 2x8 pixels Mean Cor,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
Edge location sigma 2x8 Mean Cor,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00

MTF50 (Cy/Pxl) Min Cor,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
R1090 (pxl) Max Cor,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
CA (pxl) Max Cor,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
MTF50 (LW/PH) Min Cor,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0
R1090 (/PH) Max Cor,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0
Peak MTF Max Cor,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000
MTF50P (Cy/Pxl) Min Cor,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
MTF50P (LW/PH) Min Cor,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0
MTF20 (Cy/Pxl) Min Cor,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
MTF20 (LW/PH) Min Cor,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0
LSF PW50 (pxl) Max Cor,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
CA (area %) Max Cor,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
CA (crossing %) Max Cor,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
CA (R-G %) Max Cor,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
CA (B-G %) Max Cor,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
MTF50C (Cy/Pxl) Max Cor,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
MTF Area PkNorm (Cy/Pxl) Min Cor,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
s1-MTF50. Min Cor,     0.00000,     0.00000,     0.00000,     0.00000,     0.00000,     0.00000,     0.00000,     0.00000,     0.00000,     0.00000,     0.00000
Shannon capacity Min Cor,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
Info Capacity C_4 Min Cor,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
Info Capacity C_max Min Cor,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
SNRi 2x8 pixels Min Cor,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
Edge location sigma 2x8 Min Cor,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00

MTF50 (Cy/Pxl) Wtd mean,  0.0067,  0.0347,  0.0116,  0.0066,  0.0510,  0.0106,  0.0071,  0.0282,  0.0095,  0.0054,  0.0134
R1090 (pxl) Wtd mean, 76.2205, 15.2282, 35.3776, 53.3635, 21.8637, 35.9584, 38.7673, 15.5695, 174.5696, 141.1735, 169.7828
CA (pxl) Wtd mean,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
MTF50 (LW/PH) Wtd mean,     53.7,    278.7,     93.0,     53.2,    410.0,     85.4,     56.7,    226.5,     76.0,     43.7,    108.0
R1090 (/PH) Wtd mean,     52.7,    264.0,    113.6,     75.3,    183.9,    111.8,    103.7,    258.2,     23.0,     28.5,     23.7
Peak MTF Wtd mean,   1.292,   1.000,   1.000,   1.233,   1.000,   2.282,   3.242,   1.829,   2.266,   1.000,   2.366
MTF50P (Cy/Pxl) Wtd mean,  0.3210,  0.0347,  0.0116,  0.5074,  0.0510,  0.3877,  0.3742,  0.3951,  0.3251,  0.0054,  0.2337
MTF50P (LW/PH) Wtd mean,   2581.2,    278.7,     93.0,   4079.6,    410.0,   3117.4,   3008.5,   3176.4,   2613.5,     43.7,   1878.6
MTF20 (Cy/Pxl) Wtd mean,  0.0097,  0.0494,  0.0174,  0.0098,  0.1158,  0.0153,  0.0115,  0.0357,  0.0164,  0.0303,  0.0195
MTF20 (LW/PH) Wtd mean,     78.0,    396.8,    140.0,     79.2,    930.9,    122.8,     92.5,    287.3,    132.0,    243.7,    156.5
LSF PW50 (pxl) Wtd mean,  0.2629,  0.3059,  0.2612,  0.3187,  0.2745,  0.2821,  0.3899,  0.3365,  0.2296,  0.6250,  0.3285
CA (area %) Wtd mean,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
CA (crossing %) Wtd mean,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
CA (R-G %) Wtd mean,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
